hora,temperatura,chuva,umidade,sol,vento,estação_outono,estação_primavera,estação_verão,dia_quarta,dia_quinta,dia_segunda,dia_sexta,dia_sábado,dia_terça,feriado_sim,visibilidade_Umidade de 0% a 30%,visibilidade_Umidade de 30% a 60%,visibilidade_Umidade de 60% a 95%
0.21,0.33299999999999996,1,0.7240000000000001,0.0,0.205,0,0,1,0,1,0,0,0,0,0,0,0,1
0.0,0.25,0,0.731,0.0,0.08499999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0
0.04,0.221,0,0.679,0.0,0.10900000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0
0.06,0.365,0,0.807,0.0,0.193,0,0,1,0,0,0,0,0,1,0,0,1,0
0.21,0.342,0,0.6559999999999999,0.0,0.205,0,0,1,0,1,0,0,0,0,0,0,0,1
0.22,0.327,0,0.5660000000000001,0.0,0.265,1,0,0,0,1,0,0,0,0,0,0,0,0
0.15,0.41200000000000003,0,0.55,0.162,0.145,0,0,1,0,0,0,0,0,0,0,0,0,1
0.01,0.171,0,0.701,0.0,0.625,0,0,0,0,0,0,0,1,0,0,0,1,0
0.19,0.171,0,0.42200000000000004,0.0,0.205,0,0,0,0,0,0,0,0,1,0,0,0,0
0.12,0.308,0,0.475,0.321,0.253,0,1,0,1,0,0,0,0,0,0,0,0,1
0.16,0.319,0,0.37,0.24500000000000002,0.589,0,1,0,0,0,0,0,1,0,0,0,0,0
0.15,0.433,0,0.513,0.271,0.409,0,0,1,0,1,0,0,0,0,0,0,0,1
0.02,0.155,0,0.581,0.0,0.145,0,0,0,0,0,0,0,1,0,0,0,0,1
0.02,0.131,0,0.5660000000000001,0.0,0.253,0,0,0,0,0,0,0,0,0,0,0,0,1
0.09,0.32299999999999995,0,0.6859999999999999,0.054000000000000006,0.157,0,1,0,0,0,0,0,0,1,0,0,1,0
0.17,0.27399999999999997,0,0.528,0.031,0.24100000000000002,1,0,0,1,0,0,0,0,0,0,0,0,1
0.18,0.405,0,0.573,0.11399999999999999,0.46900000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0
0.15,0.419,0,0.573,0.215,0.253,0,0,1,0,0,0,1,0,0,0,0,1,0
0.09,0.105,0,0.528,0.01,0.373,0,0,0,0,0,0,0,0,1,0,0,0,1
0.14,0.37799999999999995,0,0.6859999999999999,0.11299999999999999,0.361,0,0,1,1,0,0,0,0,0,0,0,0,1
0.0,0.14300000000000002,0,0.498,0.0,0.337,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06,0.247,0,0.6709999999999999,0.001,0.145,0,1,0,0,0,0,0,0,0,0,0,0,1
0.12,0.349,0,0.603,0.157,0.133,0,0,1,0,0,0,0,0,0,0,1,0,0
0.18,0.34600000000000003,0,0.5429999999999999,0.05600000000000001,0.253,0,0,1,0,0,0,1,0,0,0,0,0,0
0.08,0.33399999999999996,0,0.498,0.062,0.10900000000000001,0,0,1,0,0,0,0,1,0,0,0,0,1
0.08,0.275,0,0.611,0.128,0.193,0,1,0,0,0,0,0,1,0,0,0,0,0
0.17,0.305,0,0.4,0.161,0.541,0,1,0,0,0,0,0,0,1,0,0,0,1
0.05,0.324,0,0.799,0.0,0.121,1,0,0,0,0,0,0,1,0,0,0,0,0
0.22,0.213,0,0.483,0.0,0.181,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23,0.165,0,0.618,0.0,0.157,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.18899999999999997,0,0.498,0.0,0.157,0,0,0,1,0,0,0,0,0,0,0,0,1
0.02,0.312,0,0.588,0.0,0.193,0,0,1,0,0,0,0,0,1,0,0,0,0
0.15,0.215,1,0.8370000000000001,0.008,0.373,0,0,0,1,0,0,0,0,0,0,1,0,0
0.06,0.1,0,0.483,0.0,0.433,0,0,0,0,0,0,0,1,0,0,0,0,0
0.03,0.24,0,0.7390000000000001,0.0,0.181,1,0,0,0,0,0,1,0,0,0,0,0,0
0.09,0.251,0,0.6940000000000001,0.033,0.049,1,0,0,0,0,1,0,0,0,0,1,0,0
0.18,0.32299999999999995,0,0.762,0.023,0.097,1,0,0,0,0,0,1,0,0,0,0,0,0
0.01,0.309,0,0.8140000000000001,0.0,0.229,0,0,1,0,0,1,0,0,0,0,0,1,0
0.05,0.18100000000000002,0,0.475,0.0,0.121,1,0,0,0,1,0,0,0,0,0,0,0,0
0.1,0.359,0,0.581,0.219,0.217,0,0,1,0,0,0,0,0,0,0,0,0,0
0.22,0.37,0,0.754,0.0,0.205,0,0,1,0,1,0,0,0,0,0,0,0,1
0.14,0.263,0,0.43700000000000006,0.21200000000000002,0.313,1,0,0,1,0,0,0,0,0,0,0,0,1
0.23,0.268,0,0.747,0.0,0.217,0,1,0,0,1,0,0,0,0,0,1,0,0
0.18,0.23,0,0.596,0.034999999999999996,0.265,0,1,0,0,0,1,0,0,0,0,0,1,0
0.23,0.281,0,0.588,0.0,0.205,0,1,0,1,0,0,0,0,0,0,0,0,1
0.11,0.385,0,0.581,0.277,0.28900000000000003,0,0,1,1,0,0,0,0,0,0,0,1,0
0.23,0.16399999999999998,0,0.415,0.0,0.481,0,0,0,0,0,0,0,1,0,1,0,0,0
0.13,0.249,0,0.43,0.22999999999999998,0.24100000000000002,1,0,0,0,0,0,0,0,1,0,0,0,1
0.18,0.254,0,0.498,0.031,0.361,0,1,0,0,0,0,0,1,0,0,0,0,1
0.04,0.311,1,0.912,0.0,0.145,0,0,1,1,0,0,0,0,0,0,1,0,0
0.23,0.193,0,0.83,0.0,0.16899999999999998,0,1,0,1,0,0,0,0,0,0,0,0,1
0.08,0.12,0,0.603,0.001,0.445,0,0,0,0,0,0,1,0,0,0,0,0,0
0.12,0.255,0,0.8220000000000001,0.052000000000000005,0.133,0,1,0,0,0,0,0,0,1,0,1,0,0
0.1,0.141,0,0.505,0.043,0.145,0,0,0,0,0,0,0,0,0,0,0,0,1
0.22,0.257,0,0.43700000000000006,0.0,0.16899999999999998,0,1,0,0,0,0,0,0,1,0,0,0,1
0.02,0.174,0,0.49,0.0,0.157,0,0,0,0,0,1,0,0,0,0,0,0,1
0.18,0.21899999999999997,0,0.618,0.0,0.049,1,0,0,1,0,0,0,0,0,0,0,0,0
0.14,0.326,1,0.754,0.15,0.193,1,0,0,0,0,0,1,0,0,0,0,0,0
0.06,0.301,0,0.762,0.0,0.049,1,0,0,0,0,0,0,0,1,0,0,0,1
0.05,0.231,0,0.6940000000000001,0.0,0.325,1,0,0,0,0,0,0,0,0,0,0,0,1
0.2,0.223,0,0.6859999999999999,0.0,0.181,0,0,0,0,0,0,1,0,0,1,0,1,0
0.09,0.225,0,0.731,0.079,0.181,0,1,0,0,0,0,0,0,0,0,1,0,0
0.19,0.35100000000000003,0,0.55,0.018,0.397,1,0,0,0,0,1,0,0,0,0,0,0,0
0.07,0.295,0,0.731,0.001,0.145,0,1,0,0,0,0,0,0,0,0,0,0,1
0.22,0.201,0,0.483,0.0,0.145,0,0,0,0,0,1,0,0,0,0,0,1,0
0.12,0.305,0,0.6709999999999999,0.24,0.16899999999999998,0,1,0,0,0,0,0,0,0,0,0,0,1
0.19,0.19399999999999998,0,0.581,0.0,0.505,0,0,0,0,1,0,0,0,0,0,0,0,0
0.05,0.146,0,0.7240000000000001,0.0,0.265,0,0,0,0,0,0,0,1,0,0,0,1,0
0.2,0.312,0,0.52,0.0,0.073,1,0,0,0,0,0,0,0,1,1,0,0,0
0.06,0.193,0,0.498,0.0,0.229,0,1,0,1,0,0,0,0,0,0,0,0,0
0.17,0.19699999999999998,0,0.5579999999999999,0.015,0.265,0,0,0,1,0,0,0,0,0,0,0,0,1
0.01,0.151,0,0.513,0.0,0.157,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02,0.369,0,0.777,0.0,0.193,0,0,1,0,0,0,1,0,0,0,0,1,0
0.1,0.275,0,0.475,0.209,0.301,0,1,0,0,0,0,0,0,1,0,0,0,1
0.08,0.305,0,0.5660000000000001,0.06999999999999999,0.265,0,1,0,0,0,0,0,0,0,0,0,0,1
0.19,0.275,0,0.792,0.0,0.205,1,0,0,1,0,0,0,0,0,0,0,1,0
0.08,0.264,1,0.792,0.0,0.121,1,0,0,0,0,0,1,0,0,0,0,1,0
0.21,0.17800000000000002,0,0.792,0.0,0.121,0,0,0,0,1,0,0,0,0,0,0,0,1
0.05,0.16399999999999998,0,0.762,0.0,0.121,0,0,0,0,0,0,0,0,1,0,0,0,1
0.15,0.396,0,0.354,0.257,0.24100000000000002,0,0,1,0,0,0,1,0,0,0,0,0,0
0.06,0.34299999999999997,0,0.8140000000000001,0.005,0.037,0,0,1,0,0,0,0,1,0,0,0,0,0
