hora,temperatura,chuva,umidade,sol,vento,aluguéis,estação_outono,estação_primavera,estação_verão,dia_quarta,dia_quinta,dia_segunda,dia_sexta,dia_sábado,dia_terça,feriado_sim,visibilidade_Umidade de 0% a 30%,visibilidade_Umidade de 30% a 60%,visibilidade_Umidade de 60% a 95%
0.16,0.39399999999999996,0,0.611,0.219,0.34900000000000003,1318,0,0,1,0,0,0,0,1,0,0,0,0,1
0.21,0.222,0,0.633,0.0,0.28900000000000003,686,0,1,0,0,0,0,1,0,0,0,0,1,0
0.16,0.405,0,0.528,0.251,0.397,831,0,0,1,0,0,1,0,0,0,0,0,0,1
0.07,0.256,0,0.7090000000000001,0.0,0.10900000000000001,15,1,0,0,0,0,1,0,0,0,1,0,0,0
0.09,0.39899999999999997,0,0.581,0.16899999999999998,0.10900000000000001,865,0,0,1,0,0,1,0,0,0,0,0,0,1
0.1,0.275,0,0.377,0.225,0.301,771,0,1,0,1,0,0,0,0,0,0,0,0,1
0.05,0.26,0,0.784,0.0,0.133,15,0,1,0,0,0,0,1,0,0,0,0,1,0
0.19,0.284,0,0.633,0.0,0.373,1384,1,0,0,0,0,0,0,0,0,0,0,0,0
0.22,0.192,0,0.875,0.0,0.097,233,0,0,0,0,0,1,0,0,0,0,1,0,0
0.04,0.218,0,0.7390000000000001,0.0,0.181,172,1,0,0,0,0,0,0,0,0,0,0,0,1
0.22,0.086,0,0.483,0.0,0.24100000000000002,122,0,0,0,0,0,0,1,0,0,0,0,0,1
0.03,0.127,0,0.445,0.0,0.34900000000000003,34,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.196,0,0.42200000000000004,0.0,0.193,496,1,0,0,0,1,0,0,0,0,0,0,0,0
0.21,0.135,0,0.43700000000000006,0.0,0.445,120,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,0.361,0,0.40700000000000003,0.28300000000000003,0.157,985,0,0,1,0,0,0,0,0,1,0,0,0,1
0.0,0.324,0,0.701,0.0,0.08499999999999999,1062,0,0,1,0,1,0,0,0,0,0,0,1,0
0.14,0.354,0,0.762,0.078,0.121,538,1,0,0,0,0,0,1,0,0,0,0,0,1
0.2,0.33399999999999996,0,0.716,0.011,0.24100000000000002,2483,0,0,1,0,0,1,0,0,0,0,0,1,0
0.09,0.33399999999999996,0,0.626,0.18,0.217,1117,0,0,1,1,0,0,0,0,0,0,0,1,0
0.21,0.312,0,0.611,0.0,0.397,1562,0,1,0,0,0,0,0,1,0,0,0,0,1
0.22,0.29600000000000004,0,0.6709999999999999,0.0,0.061,1843,0,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.38,0,0.633,0.0,0.16899999999999998,315,0,0,1,0,0,0,0,0,0,0,0,0,1
0.05,0.11900000000000001,0,0.49,0.0,0.397,37,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.325,0,0.83,0.0,0.08499999999999999,299,0,0,1,0,0,0,0,0,0,0,0,0,1
0.19,0.322,0,0.36200000000000004,0.05600000000000001,0.265,2155,0,1,0,0,0,0,0,0,0,0,0,0,0
0.06,0.11699999999999999,0,0.498,0.0,0.301,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.33899999999999997,0,0.452,0.095,0.229,2408,1,0,0,0,0,0,0,1,0,1,0,0,1
0.2,0.23399999999999999,0,0.754,0.0,0.493,1003,1,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.331,0,0.7390000000000001,0.0,0.157,976,1,0,0,0,0,0,1,0,0,0,0,0,0
