DESC_APRESENTACAO;DIAS;UND;UF
0;A;2023-02-24;430.0;SE
1;A;2022-12-19;240.0;PI
2;A;2023-02-17;630.0;SC
3;A;2022-06-29;130.0;CE
4;A;2022-09-30;1030.0;BA
5;A;2022-11-28;160.0;RN
6;A;2022-11-21;600.0;MG
7;A;2022-06-24;210.0;SC
8;A;2022-09-21;420.0;MG
9;A;2022-08-04;3150.0;MA
10;A;2023-02-15;400.0;ES
11;A;2022-12-30;310.0;SC
12;A;2023-01-31;220.0;PR
13;A;2023-02-13;-20.0;RJ
14;A;2022-04-04;220.0;RO
15;A;2022-09-09;630.0;MG
16;A;2022-10-28;670.0;PI
17;A;2022-11-16;1830.0;PA
18;A;2022-11-19;30.0;AL
19;A;2022-12-09;150.0;AM
20;A;2022-07-27;640.0;GO
21;A;2022-08-23;-20.0;RJ
22;A;2022-06-29;500.0;PB
23;A;2022-06-06;2330.0;PA
24;A;2022-05-18;3410.0;PA
25;A;2022-05-20;480.0;PB
26;A;2022-05-10;110.0;RS
27;A;2023-01-30;940.0;MA
28;A;2023-01-27;2450.0;PA
29;A;2023-01-30;620.0;BA
30;A;2023-01-20;720.0;BA
31;A;2022-09-20;3270.0;PA
32;A;2022-10-24;340.0;ES
33;A;2022-11-08;140.0;PE
34;A;2022-11-05;920.0;PA
35;A;2022-07-27;830.0;BA
36;A;2022-07-22;280.0;AM
37;A;2022-08-04;50.0;GO
38;A;2022-05-03;2600.0;PA
39;A;2022-05-03;260.0;SC
40;A;2022-09-08;2730.0;PA
41;A;2022-11-08;440.0;PB
42;A;2022-07-04;590.0;BA
43;A;2022-05-02;1760.0;PA
44;A;2023-02-01;410.0;CE
45;A;2023-02-20;240.0;MG
46;A;2022-12-27;410.0;SE
47;A;2023-01-16;810.0;CE
48;A;2023-01-18;690.0;BA
49;A;2022-08-01;1630.0;PA
50;A;2022-04-27;6000.0;PA
51;A;2022-04-11;430.0;SC
52;A;2022-07-08;1230.0;BA
53;A;2022-11-25;2670.0;BA
54;A;2022-11-18;1690.0;MA
55;A;2022-11-03;620.0;MG
56;A;2022-09-12;3150.0;PA
57;A;2022-08-09;410.0;BA
58;A;2022-04-07;1590.0;MA
59;A;2022-10-14;2040.0;PA
60;A;2022-12-29;640.0;AM
